Item,Store,Price
Brown Sugar Sub - Splenda,CO-OP,7.29
Brown Sugar Sub - Splenda,SAFEWAY,5.51
Brown Sugar Sub - Splenda,SOBEYS,6.99
Brown Sugar Sub - Splenda,SUPERSTORE,5.96
Organic Suger,CO-OP,3.99
Organic Suger,SAFEWAY,3.98
Organic Suger,SOBEYS,3.99
Organic Suger,SUPERSTORE,3.69
McIntosh Apples,CO-OP,4.39
McIntosh Apples,SAFEWAY,3.37
McIntosh Apples,SOBEYS,2.29
McIntosh Apples,SUPERSTORE,2.16
Seedless Grapes (Red),CO-OP,5.49
Seedless Grapes (Red),SAFEWAY,3.7
Seedless Grapes (Red),SOBEYS,3.7
Seedless Grapes (Red),SUPERSTORE,3.58
Strawberries,CO-OP,4.99
Strawberries,SAFEWAY,4.99
Strawberries,SOBEYS,4.98
Strawberries,SUPERSTORE,4.98
Blueberries,CO-OP,2.99
Blueberries,SAFEWAY,2.93
Blueberries,SOBEYS,2.98
Blueberries,SUPERSTORE,2.98
Nectarines,CO-OP,5.49
Nectarines,SAFEWAY,5.36
Nectarines,SOBEYS,5.47
Nectarines,SUPERSTORE,4.37
Green Leaf Lettuce,CO-OP,1.69
Green Leaf Lettuce,SAFEWAY,1.53
Green Leaf Lettuce,SOBEYS,1.48
Green Leaf Lettuce,SUPERSTORE,0.98
"Potatoes, 10lb bag",CO-OP,4.99
"Potatoes, 10lb bag",SAFEWAY,5.23
"Potatoes, 10lb bag",SOBEYS,3.98
"Potatoes, 10lb bag",SUPERSTORE,4.98
Broccoli Crowns,CO-OP,5.49
Broccoli Crowns,SAFEWAY,6.46
Broccoli Crowns,SOBEYS,6.57
Broccoli Crowns,SUPERSTORE,5.47
Red Pepper,CO-OP,7.68
Red Pepper,SAFEWAY,8.66
Red Pepper,SOBEYS,8.77
Red Pepper,SUPERSTORE,7.23
Sno Peas,CO-OP,1.29
Sno Peas,SAFEWAY,1.49
Sno Peas,SOBEYS,1.68
Sno Peas,SUPERSTORE,1.48
SlimFast Drink Shakes,CO-OP,11.99
SlimFast Drink Shakes,SAFEWAY,12.5
SlimFast Drink Shakes,SOBEYS,10.99
SlimFast Drink Shakes,SUPERSTORE,9.93
SlimFast Meal Replacement,CO-OP,11.99
SlimFast Meal Replacement,SAFEWAY,10.99
SlimFast Meal Replacement,SOBEYS,10.99
SlimFast Meal Replacement,SUPERSTORE,9.93
Boost Meal Replacement,CO-OP,11.49
Boost Meal Replacement,SAFEWAY,11.47
Boost Meal Replacement,SOBEYS,11.19
Boost Meal Replacement,SUPERSTORE,10.77
PowerBar Sport,CO-OP,2.19
PowerBar Sport,SAFEWAY,1.97
PowerBar Sport,SOBEYS,1.89
PowerBar Sport,SUPERSTORE,1.99
